"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"Parish Grill","4.9","537","4650 W Esplanade Ave #100","Metairie","Louisiana","US","http://parishgrill.com/","(504) 345-2878","Restaurant","Catering food and drink supplier",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Parish%20Grill&query_place_id=ChIJ6YYOfhuxIIYRl9W0Ycdt1iA","Restaurant"
"La Tia Taqueria & Cantina","4.6","377","4517 W Esplanade Ave","Metairie","Louisiana","US","https://latiacantina.com/","(504) 354-8570","Restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=La%20Tia%20Taqueria%20%26%20Cantina&query_place_id=ChIJz89Q5eGxIIYRJ-npXi9571M","Restaurant"
"World Deli","4.6","286","4414 Clearview Pkwy","Metairie","Louisiana","US","http://cateringneworleans.net/","(504) 885-4888","Restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=World%20Deli&query_place_id=ChIJsUvzoP-wIIYRRlFi4cMJyS0","Restaurant"
"Southerns","4.9","1665","4620 Veterans Memorial Blvd","Metairie","Louisiana","US","http://southernsfood.com/","(504) 345-2097","Restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Southerns&query_place_id=ChIJN-K6Ga-xIIYRnEaRwKzIOew","Restaurant"
"Kabob House NOLA","4.8","1473","4301 Veterans Memorial Blvd","Metairie","Louisiana","US","http://www.kabobhousenola.com/","(504) 581-8695","Mediterranean restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kabob%20House%20NOLA&query_place_id=ChIJ91lmuDSxIIYRE8cYdB8BGFI","Mediterranean restaurant"
"Acropolis Cuisine - Greek & Mediterranean Cuisine, Metairie, LA","4.7","859","3841 Veterans Memorial Blvd","Metairie","Louisiana","US","https://www.acropoliscuisine.com/home-front-page/","(504) 888-9046","Greek restaurant","Bar","Catering food and drink supplier","Caterer","European restaurant","Italian restaurant","Kosher restaurant","Mediterranean restaurant","Restaurant",,"https://www.google.com/maps/search/?api=1&query=Acropolis%20Cuisine%20-%20Greek%20%26%20Mediterranean%20Cuisine%2C%20Metairie%2C%20LA&query_place_id=ChIJqQ4Y4kawIIYRh3qPwRMr8f0","Greek restaurant"
"Hot N Cajun Boil House","4.8","455","4201 Veterans Memorial Blvd","Metairie","Louisiana","US","https://www.hotncajunboilhouse.com/","(504) 510-2680","Seafood restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Hot%20N%20Cajun%20Boil%20House&query_place_id=ChIJrRS3MI-xIIYRN5P4UJwMFyA","Seafood restaurant"
"Nudo","4.5","252","3431 Houma Blvd suite b","Metairie","Louisiana","US","https://food.orders.co/nudo?y_source=1_MTA1NTMyMTIyNy03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","(504) 581-8628","Restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Nudo&query_place_id=ChIJNaKS-VqwIIYRUFolEmpUu-4","Restaurant"
"Stella Pizzeria & Restaurant","4.6","289","4421 Clearview Pkwy","Metairie","Louisiana","US","http://www.orderstellapizzeria.com/","(504) 309-7677","Pizza restaurant","Delivery Restaurant",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Stella%20Pizzeria%20%26%20Restaurant&query_place_id=ChIJA9Cdc_-wIIYRYNP3I_8vjKg","Pizza restaurant"
"Boulevard American Bistro","4.4","1718","4241 Veterans Memorial Blvd","Metairie","Louisiana","US","https://boulevardbistro.com/","(504) 889-2301","American restaurant","Bar","Cocktail bar","Steak house",,,,,,,"https://www.google.com/maps/search/?api=1&query=Boulevard%20American%20Bistro&query_place_id=ChIJ4fbiG1uwIIYR5LVk8DSkdR8","American restaurant"
